"V1";"V2";"V3";"V4";"V5";"V6"
0319001000000005001;2012-01-01;00:00:00  ;1;  37.98;   0.00;  38.34
0319001000000005001;2012-01-01;00:15:00  ;2;  41.94;   0.00;  42.54
0319001000000005001;2012-01-01;00:30:00  ;3;  38.16;   0.00;  37.68
0319001000000005001;2012-01-01;00:45:00  ;4;  38.64;   0.00;  39.00
0319001000000005001;2012-01-01;01:00:00  ;5;  39.00;   0.00;  39.12
0319001000000005001;2012-01-01;01:15:00  ;6;  37.44;   0.00;  36.48
0319001000000005001;2012-01-01;01:30:00  ;7;  39.00;   0.00;  40.08
0319001000000005001;2012-01-01;01:45:00  ;8;  40.92;   0.00;  41.64
0319001000000005001;2012-01-01;02:00:00  ;9;   1.32;   0.00;   1.20
0319001000000005001;2012-01-01;02:15:00  ;10;   1.20;   0.00;   0.96
0319001000000005001;2012-01-01;02:30:00  ;11;   1.08;   0.00;   0.96
0319001000000005001;2012-01-01;02:45:00  ;12;   1.08;   0.00;   1.08
0319001000000005001;2012-01-01;03:00:00  ;13;   1.20;   0.00;   1.08
0319001000000005001;2012-01-01;03:15:00  ;14;   1.08;   0.00;   1.08
0319001000000005001;2012-01-01;03:30:00  ;15;   1.08;   0.00;   1.08
0319001000000005001;2012-01-01;03:45:00  ;16;   1.08;   0.00;   0.96
0319001000000005001;2012-01-01;04:00:00  ;17;   1.08;   0.00;   0.96
0319001000000005001;2012-01-01;04:15:00  ;18;   1.08;   0.00;   0.96
0319001000000005001;2012-01-01;04:30:00  ;19;   1.08;   0.00;   1.08
0319001000000005001;2012-01-01;04:45:00  ;20;   1.44;   0.00;   1.08
0319001000000005001;2012-01-01;05:00:00  ;21;   1.08;   0.00;   0.96
0319001000000005001;2012-01-01;05:15:00  ;22;   1.08;   0.00;   1.08
0319001000000005001;2012-01-01;05:30:00  ;23;   1.44;   0.00;   1.08
0319001000000005001;2012-01-01;05:45:00  ;24;   1.56;   0.00;   0.96
0319001000000005001;2012-01-01;06:00:00  ;25;   1.56;   0.00;   1.20
0319001000000005001;2012-01-01;06:15:00  ;26;   2.16;   0.00;   1.80
0319001000000005001;2012-01-01;06:30:00  ;27;   2.04;   0.00;   1.92
0319001000000005001;2012-01-01;06:45:00  ;28;   2.28;   0.00;   1.80
0319001000000005001;2012-01-01;07:00:00  ;29;   2.40;   0.00;   2.04
0319001000000005001;2012-01-01;07:15:00  ;30;   2.16;   0.00;   1.92
0319001000000005001;2012-01-01;07:30:00  ;31;   2.28;   0.00;   2.04
0319001000000005001;2012-01-01;07:45:00  ;32;   2.28;   0.00;   2.04
0319001000000005001;2012-01-01;08:00:00  ;33;   2.76;   0.00;   2.52
0319001000000005001;2012-01-01;08:15:00  ;34;   2.88;   0.00;   2.52
0319001000000005001;2012-01-01;08:30:00  ;35;   2.16;   0.00;   1.68
0319001000000005001;2012-01-01;08:45:00  ;36;   2.16;   0.00;   1.80
0319001000000005001;2012-01-01;09:00:00  ;37;   2.04;   0.00;   1.80
0319001000000005001;2012-01-01;09:15:00  ;38;   2.28;   0.00;   1.68
0319001000000005001;2012-01-01;09:30:00  ;39;   2.16;   0.00;   1.68
0319001000000005001;2012-01-01;09:45:00  ;40;   4.92;   0.00;   1.80
0319001000000005001;2012-01-01;10:00:00  ;41;   1.68;   0.00;   1.32
0319001000000005001;2012-01-01;10:15:00  ;42;   1.56;   0.00;   1.20
0319001000000005001;2012-01-01;10:30:00  ;43;   1.56;   0.00;   1.20
0319001000000005001;2012-01-01;10:45:00  ;44;   1.80;   0.00;   1.56
0319001000000005001;2012-01-01;11:00:00  ;45;   2.28;   0.00;   1.80
0319001000000005001;2012-01-01;11:15:00  ;46;   1.68;   0.00;   1.32
0319001000000005001;2012-01-01;11:30:00  ;47;   1.68;   0.00;   1.20
0319001000000005001;2012-01-01;11:45:00  ;48;   2.28;   0.00;   1.92
0319001000000005001;2012-01-01;12:00:00  ;49;   2.04;   0.00;   1.80
0319001000000005001;2012-01-01;12:15:00  ;50;   2.16;   0.00;   1.92
0319001000000005001;2012-01-01;12:30:00  ;51;   1.92;   0.00;   1.68
0319001000000005001;2012-01-01;12:45:00  ;52;   1.44;   0.00;   1.08
0319001000000005001;2012-01-01;13:00:00  ;53;   1.20;   0.00;   1.44
0319001000000005001;2012-01-01;13:15:00  ;54;   1.80;   0.00;   1.80
0319001000000005001;2012-01-01;13:30:00  ;55;   1.68;   0.00;   1.32
0319001000000005001;2012-01-01;13:45:00  ;56;   4.92;   0.00;   4.56
